gid,village,woreda,chirps_early_first,chirps_early_last,chirps_late_first,chirps_late_last,evi_month,status
2839,wejit,Gishe,18,21,23,26,Oct,New R4 2022 Village
3193,Abarwuha,Gonchasiso_Enese,19,21,25,27,Sep,Previous R4 Village (Not Updated)
3183,Derit,Gonchasiso_Enese,17,20,23,26,Oct,Previous R4 Village (Not Updated)
3182,Filatako,Gonchasiso_Enese,16,19,22,25,Sep,Previous R4 Village (Updated 2022)
1494,Agid,Gondar_Zuriya,12,15,26,29,Sep,Previous R4 Village (Not Updated)
2658,Ababore,Jama,18,21,24,27,Oct,Previous R4 Village (Updated 2022)
2648,Abewoled,Jama,17,20,24,27,Oct,Previous R4 Village (Updated 2022)
2646,Aley,Jama,18,21,22,25,Nov,Previous R4 Village (Not Updated)
2642,Amayo,Jama,18,21,24,27,Oct,New R4 2022 Village
2657,Bilu,Jama,16,19,24,27,Oct,New R4 2022 Village
2652,Boren,Jama,18,21,23,26,Oct,New R4 2022 Village
2650,Ejerti,Jama,15,18,24,27,Oct,New R4 2022 Village
2641,Faji,Jama,18,21,24,27,Nov,Previous R4 Village (Not Updated)
2659,Kebena,Jama,18,21,25,28,Oct,Previous R4 Village (Updated 2022)
2643,Ketary,Jama,18,21,25,28,Oct,New R4 2022 Village
2654,Keyafer/Goye,Jama,18,21,24,27,Oct,Previous R4 Village (Updated 2022)
2653,Micha,Jama,18,21,25,28,Oct,Previous R4 Village (Updated 2022)
2649,Shilafafe,Jama,18,21,22,24,Nov,Previous R4 Village (Not Updated)
2644,Tulumojo,Jama,18,21,25,28,Oct,New R4 2022 Village
2647,Zerkami,Jama,17,20,24,27,Oct,Previous R4 Village (Updated 2022)
2634,Abet_wuha,Kelala,18,21,23,26,Oct,Previous R4 Village (Not Updated)
2637,Addis_amba,Kelala,18,21,22,25,Oct,Previous R4 Village (Not Updated)
2629,Anarat,Kelala,17,20,24,26,Nov,Previous R4 Village (Not Updated)
2624,Baket/Workiena_Bari,Kelala,18,20,23,25,Sep,Previous R4 Village (Updated 2022)
2631,Baqelo,Kelala,17,20,23,25,Nov,Previous R4 Village (Not Updated)
2608,Berieda,Kelala,18,21,24,26,Oct,New R4 2022 Village
2630,Deger,Kelala,17,20,24,28,Nov,Previous R4 Village (Not Updated)
2625,Degorach,Kelala,17,20,23,26,Nov,Previous R4 Village (Not Updated)
2609,Gore,Kelala,18,20,25,27,Oct,New R4 2022 Village
2633,Jejeba,Kelala,17,20,24,27,Nov,Previous R4 Village (Not Updated)
2632,Korke,Kelala,19,21,25,28,Nov,Previous R4 Village (Not Updated)
2628,Minaya,Kelala,18,21,25,28,Nov,Previous R4 Village (Not Updated)
2618,Mukiche,Kelala,18,21,23,25,Oct,New R4 2022 Village
2626,Shafie,Kelala,18,21,23,25,Oct,New R4 2022 Village
2606,Shenete,Kelala,18,21,24,26,Oct,New R4 2022 Village
2616,Teltelie,Kelala,18,21,23,25,Oct,New R4 2022 Village
2636,Tirantir,Kelala,19,21,25,27,Oct,Previous R4 Village (Not Updated)
2607,Warja,Kelala,18,21,23,25,Oct,New R4 2022 Village
2622,Yimerina_Rebortu,Kelala,18,20,23,25,Oct,New R4 2022 Village
2540,Argit,LEGAMIBO,18,20,25,28,Oct,New R4 2022 Village
2536,Biyo,LEGAMIBO,18,21,25,27,Nov,Previous R4 Village (Not Updated)
1128,Genete,LEGAMIBO,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2541,Gol,LEGAMIBO,18,21,26,28,Oct,New R4 2022 Village
2537,Hitetera,LEGAMIBO,18,21,22,24,Nov,Previous R4 Village (Not Updated)
2513,Hote,LEGAMIBO,18,21,23,25,Sep,Previous R4 Village (Not Updated)
2512,Keymebrat,LEGAMIBO,18,21,24,26,Oct,Previous R4 Village (Not Updated)
2530,Kindo,LEGAMIBO,19,21,25,27,Oct,New R4 2022 Village
2539,Kore,LEGAMIBO,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2535,Selamber-Jingo,LEGAMIBO,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2532,Teksie,LEGAMIBO,18,21,23,26,Oct,New R4 2022 Village
2538,Yilada,LEGAMIBO,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2736,Denbia,Legehida,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2734,Kire_gebeya,Legehida,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2732,Sedere,Legehida,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2735,Shikif,Legehida,18,21,25,28,Nov,Previous R4 Village (Not Updated)
2733,Siba,Legehida,18,21,25,28,Nov,Previous R4 Village (Not Updated)
2741,Telanta,Legehida,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2731,Zenamba,Legehida,18,21,24,26,Nov,Previous R4 Village (Not Updated)
1809,Anigot,Libokemkem,16,19,24,27,Nov,Previous R4 Village (Not Updated)
1791,Asta,Libokemkem,16,19,26,28,Oct,Previous R4 Village (Updated 2022)
1815,Berkutae,Libokemkem,18,21,23,25,Nov,Previous R4 Village (Not Updated)
1788,BilbWuha,Libokemkem,17,19,23,25,Oct,Previous R4 Village (Updated 2022)
1795,Derita,Libokemkem,17,20,24,26,Oct,Previous R4 Village (Updated 2022)
1813,Estifanos,Libokemkem,14,17,23,25,Nov,Previous R4 Village (Not Updated)
1798,Ginaza,Libokemkem,17,20,23,26,Oct,Previous R4 Village (Updated 2022)
1800,Keregna,Libokemkem,18,21,26,28,Sep,Previous R4 Village (Updated 2022)
1794,Libo,Libokemkem,17,20,26,29,Sep,Previous R4 Village (Updated 2022)
1787,MendereMariam,Libokemkem,17,19,24,26,Oct,Previous R4 Village (Updated 2022)
1789,MichaelDebir_and_Goza,Libokemkem,15,18,26,29,Oct,Previous R4 Village (Updated 2022)
1790,Mitad,Libokemkem,17,20,23,25,Oct,Previous R4 Village (Not Updated)
1814,Shamo,Libokemkem,18,21,23,25,Nov,Previous R4 Village (Not Updated)
1810,ShehochTehara,Libokemkem,18,21,23,25,Sep,Previous R4 Village (Not Updated)
1797,Tara_gedam,Libokemkem,14,17,23,25,Nov,Previous R4 Village (Not Updated)
1805,Tibaga,Libokemkem,18,21,24,26,Nov,Previous R4 Village (Not Updated)
1799,WushaTires,Libokemkem,17,20,27,29,Sep,Previous R4 Village (Updated 2022)
1806,YifagAkababi,Libokemkem,15,18,26,29,Nov,Previous R4 Village (Not Updated)
2719,Alegeta/Sensa,Mehal_Sayit,18,21,25,27,Oct,Previous R4 Village (Updated 2022)
2726,Asef_zemer,Mehal_Sayit,18,21,23,25,Sep,New R4 2022 Village
2725,Bacheta,Mehal_Sayit,18,21,24,26,Oct,New R4 2022 Village
2721,Derew,Mehal_Sayit,17,20,23,26,Sep,Previous R4 Village (Updated 2022)
2718,Gert,Mehal_Sayit,18,21,23,25,Oct,Previous R4 Village (Not Updated)
2724,Kotet,Mehal_Sayit,22,24,27,29,Nov,Previous R4 Village (Not Updated)
2717,Samagn,Mehal_Sayit,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2723,Wezed,Mehal_Sayit,18,21,25,28,Sep,Previous R4 Village (Updated 2022)
2716,Work_mawucha,Mehal_Sayit,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2304,Bazura,Mekdela,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2319,Dedere,Mekdela,18,21,25,27,Oct,New R4 2022 Village
2307,Defergie,Mekdela,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2298,Dender,Mekdela,18,21,24,26,Oct,Previous R4 Village (Not Updated)
2299,Gobedin,Mekdela,18,21,22,24,Oct,Previous R4 Village (Not Updated)
2300,Mata_Meda,Mekdela,18,21,23,25,Oct,Previous R4 Village (Not Updated)
2305,Mingash,Mekdela,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2308,Tebi,Mekdela,19,21,22,24,Nov,Previous R4 Village (Not Updated)
2296,Warekaye,Mekdela,18,21,24,26,Sep,New R4 2022 Village
2563,Ambaferit,Sayinit,18,20,26,29,Sep,New R4 2022 Village
2558,Ambasember,Sayinit,18,21,25,27,Oct,Previous R4 Village (Not Updated)
2561,Ashinga,Sayinit,17,20,23,25,Oct,Previous R4 Village (Not Updated)
2571,Beja,Sayinit,19,21,22,24,Oct,Previous R4 Village (Updated 2022)
2555,Debitera,Sayinit,17,20,23,25,Oct,Previous R4 Village (Not Updated)
2545,dedo,Sayinit,18,21,23,25,Sep,New R4 2022 Village
2552,Elog,Sayinit,18,21,23,25,Sep,New R4 2022 Village
2547,Endote,Sayinit,17,20,24,27,Oct,New R4 2022 Village
2550,Ewa,Sayinit,18,21,24,26,Oct,New R4 2022 Village
2566,Feres_Bar,Sayinit,17,20,25,28,Oct,Previous R4 Village (Not Updated)
2564,Gedeba,Sayinit,18,21,25,27,Oct,New R4 2022 Village
2562,Gulmeda,Sayinit,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2569,Kita_chelaga,Sayinit,18,20,24,27,Oct,New R4 2022 Village
2556,Melesanka,Sayinit,18,21,24,27,Oct,Previous R4 Village (Not Updated)
2559,Meso/Yeshob_densa,Sayinit,18,21,27,29,Sep,Previous R4 Village (Updated 2022)
2568,Segerat,Sayinit,17,20,26,28,Sep,Previous R4 Village (Updated 2022)
2553,Shehot,Sayinit,17,20,23,25,Oct,New R4 2022 Village
2567,Shengodefer,Sayinit,18,21,25,27,Nov,Previous R4 Village (Not Updated)
2554,T_mariam,Sayinit,18,20,24,26,Oct,Previous R4 Village (Updated 2022)
2551,Tengobalel,Sayinit,18,21,23,25,Oct,New R4 2022 Village
2544,Wuker,Sayinit,18,21,24,27,Sep,New R4 2022 Village
2557,Yegodo,Sayinit,19,21,25,28,Oct,Previous R4 Village (Not Updated)
3467,Abaselima,Shebel_Berenta,18,21,24,27,Oct,Previous R4 Village (Not Updated)
3478,Abrekuy,Shebel_Berenta,18,21,23,25,Oct,Previous R4 Village (Not Updated)
3464,Ansheb,Shebel_Berenta,18,20,24,26,Oct,Previous R4 Village (Updated 2022)
3462,Gebsit,Shebel_Berenta,18,21,23,25,Nov,Previous R4 Village (Not Updated)
3463,Gedayasu,Shebel_Berenta,16,19,23,25,Oct,Previous R4 Village (Not Updated)
3476,Ledy,Shebel_Berenta,18,21,23,25,Oct,Previous R4 Village (Not Updated)
3475,Mergech,Shebel_Berenta,18,21,23,25,Oct,Previous R4 Village (Not Updated)
3473,Mozen,Shebel_Berenta,18,21,23,25,Oct,Previous R4 Village (Not Updated)
3472,Selelkula,Shebel_Berenta,18,20,24,27,Sep,Previous R4 Village (Updated 2022)
3474,Suha,Shebel_Berenta,17,20,23,25,Nov,Previous R4 Village (Not Updated)
3477,Wobo,Shebel_Berenta,14,17,24,26,Oct,Previous R4 Village (Not Updated)
3470,Worego,Shebel_Berenta,17,20,22,25,Oct,Previous R4 Village (Not Updated)
3468,Woynye,Shebel_Berenta,18,21,23,25,Oct,Previous R4 Village (Not Updated)
3469,Yedwuha,Shebel_Berenta,17,20,23,25,Oct,Previous R4 Village (Not Updated)
3479,Yeju,Shebel_Berenta,17,20,24,27,Oct,Previous R4 Village (Updated 2022)
2343,_Sengola,Tenta,19,21,24,26,Oct,New R4 2022 Village
2333,018_Gafa,Tenta,18,21,24,26,Oct,New R4 2022 Village
2325,020_Robit,Tenta,17,20,25,28,Oct,New R4 2022 Village
2335,04_Cheleme,Tenta,18,21,25,27,Oct,New R4 2022 Village
2342,06_Fito_Meserbi,Tenta,19,21,24,26,Oct,New R4 2022 Village
2337,Abamela,Tenta,19,21,24,26,Oct,New R4 2022 Village
2339,Ambemariam,Tenta,17,20,28,29,Oct,New R4 2022 Village
2328,Bila,Tenta,18,21,24,27,Nov,Previous R4 Village (Not Updated)
2329,Chacha,Tenta,18,21,24,27,Nov,Previous R4 Village (Not Updated)
2340,China,Tenta,18,20,25,28,Oct,Previous R4 Village (Updated 2022)
2331,Debek,Tenta,17,20,25,28,Nov,Previous R4 Village (Not Updated)
2332,Kulbitamba,Tenta,17,20,24,27,Oct,Previous R4 Village (Not Updated)
2341,Kurkur,Tenta,19,21,24,26,Sep,Previous R4 Village (Updated 2022)
2330,Meguat,Tenta,18,21,24,27,Oct,New R4 2022 Village
2327,Sholaw,Tenta,17,20,25,28,Oct,New R4 2022 Village
2334,Tedat,Tenta,18,21,24,27,Oct,Previous R4 Village (Not Updated)
2326,Wata,Tenta,17,20,22,25,Nov,Previous R4 Village (Not Updated)
2338,Yamed,Tenta,17,20,25,28,Oct,Previous R4 Village (Updated 2022)
2324,Yederek,Tenta,17,20,23,26,Oct,New R4 2022 Village
2336,Yemt,Tenta,17,20,25,28,Oct,New R4 2022 Village
2669,Adati,Were_Ilu,18,21,23,26,Nov,Previous R4 Village (Not Updated)
2664,arenfama,Were_Ilu,18,21,23,25,Sep,New R4 2022 Village
2678,Debre_Nigist,Were_Ilu,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2663,degnu,Were_Ilu,18,21,25,28,Oct,New R4 2022 Village
2667,Doyo,Were_Ilu,18,21,23,25,Nov,Previous R4 Village (Not Updated)
2666,Gatira,Were_Ilu,18,21,23,26,Nov,Previous R4 Village (Not Updated)
2676,kere_mariam,Were_Ilu,19,21,25,27,Oct,New R4 2022 Village
2661,ketema,Were_Ilu,18,21,25,28,Oct,New R4 2022 Village
2679,Kuntit,Were_Ilu,18,21,23,25,Oct,Previous R4 Village (Not Updated)
2673,yebelo,Were_Ilu,18,20,23,25,Sep,New R4 2022 Village
